Keyboard first qty,Add mouse qty,Full qty,Part / value,References,Package / footprint,Breadboard description
1,0,1,5V INPUT / GND,J1,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,Two-contact 5 V power connection
1,0,1,1.5A fast 5x20,F1,Fuseholder_Clip-5x20mm_Littelfuse_111_Lateral_P18.80x5.00mm_D1.17mm_Horizontal,"1.5 A fast fuse, 5×20 mm"
1,0,1,REMOVE FOR PC USB,JP1,PinHeader_1x02_P2.54mm_Vertical,Removable module-power jumper
1,0,1,RP2040-Zero SOCKETS,M1,RP2040_Zero_HeaderOnly,RP2040-Zero module on headers
1,0,1,470uF 10V,C1,CP_Radial_D10.0mm_P5.00mm,470 µF / 10 V electrolytic capacitor
1,0,1,10uF 10V,C2,CP_Radial_D5.0mm_P2.00mm,10 µF / 10 V electrolytic capacitor
3,1,4,100nF,C3 C4 C6 C8,C_Disc_D5.0mm_W2.5mm_P5.00mm,100 nF leaded ceramic capacitor
1,0,1,USB 1,J2,USB_A_Molex_67643_Horizontal,"USB-A receptacle, keyboard"
1,0,1,TPS2042P,U1,DIP-8_W7.62mm_Socket,"TPS2042P dual power switch, DIP-8"
2,2,4,22R,R1 R2 R6 R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,22 Ω resistor
2,2,4,15k,R3 R4 R8 R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,15 kΩ resistor
3,3,6,2.2k,R5 R10 R11 R15 R19 R23,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2.2 kΩ resistor
1,1,2,220uF 10V,C5 C7,CP_Radial_D6.3mm_P2.50mm,220 µF / 10 V electrolytic capacitor
1,1,2,RED FAULT,D1 D2,LED_D3.0mm,"Red LED, 3 mm"
0,1,1,USB 2,J3,USB_A_Molex_67643_Horizontal,"USB-A receptacle, mouse"
1,0,1,KBD SDS-70J,J4,SDS-70J,"7-pin DIN socket, keyboard (SDS-70J for PCB)"
0,1,1,MOUSE SDS-70J,J5,SDS-70J,"7-pin DIN socket, mouse (SDS-70J for PCB)"
2,2,4,2N3904,Q1 Q2 Q3 Q4,TO-92_Inline_Wide,"2N3904 transistor, TO-92"
2,2,4,47k,R12 R16 R20 R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,47 kΩ resistor
2,2,4,4.7k,R13 R17 R21 R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4.7 kΩ resistor
2,2,4,100k,R14 R18 R22 R26,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,100 kΩ resistor
1,0,1,CD4050BE,U2,DIP-16_W7.62mm_Socket,"CD4050BE buffer, DIP-16"
