Mouser Part Number,Quantity,Manufacturer Part Number,Description,Product URL,Notes
595-TPS2042P,5,TPS2042P,USB power-switch chip — PDIP-8,https://www.mouser.com/en/ProductDetail/Texas-Instruments/TPS2042P?qs=sGAEpiMZZMv0DJfhVcWlK5dti4XbSOwogfbpZrAIrQU%3D,
595-CD4050BE,5,CD4050BE,PS/2 input buffer — PDIP-16,https://www.mouser.com/en/ProductDetail/Texas-Instruments/CD4050BE?qs=j%2FZo4ajzVJLKLpJvKsajlg%3D%3D,
512-2N3904BU,20,2N3904BU,NPN transistor — TO-92,https://www.mouser.com/en/ProductDetail/onsemi/2N3904BU?qs=or4AE2qAS%252Bd0Jdpn%2F8ktKg%3D%3D,
603-MFR-25FRF52-22R,20,MFR-25FRF52-22R,"22 Ω resistor — 1%, ¼ W, axial; select Cut Tape",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FRF52-22R?qs=oAGoVhmvjhwUlsp%2F3bYXqg%3D%3D,"Cut Tape; loose resistors, not a reel"
603-MFR-25FBF52-15K,20,MFR-25FBF52-15K,"15 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-15K?qs=oAGoVhmvjhzZTLCD9uq%2F7w%3D%3D,
603-MFR-25FBF52-2K2,30,MFR-25FBF52-2K2,"2.2 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-2K2?qs=oAGoVhmvjhwVT9mopfAMPA%3D%3D,
603-MFR-25FBF52-47K,20,MFR-25FBF52-47K,"47 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-47K?qs=oAGoVhmvjhwOchl34Oamzw%3D%3D,
603-MFR-25FBF52-4K7,20,MFR-25FBF52-4K7,"4.7 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-4K7?qs=oAGoVhmvjhyEuU2iU0uA4w%3D%3D,
603-MFR-25FBF52-100K,20,MFR-25FBF52-100K,"100 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-100K?qs=oAGoVhmvjhxAqZbyE%2Fs9bg%3D%3D,
594-K104K15X7RF5TH5,20,K104K15X7RF5TH5,"100 nF ceramic capacitor — 50 V, leaded",https://www.mouser.com/en/ProductDetail/Vishay-BC-Components/K104K15X7RF5TH5?qs=CuWZN%2F5Vbiofhf%252BuZNGw%2Fg%3D%3D,
647-UVR1E471MPD,5,UVR1E471MPD,"470 µF electrolytic — 25 V, radial",https://www.mouser.com/en/ProductDetail/Nichicon/UVR1E471MPD?qs=eBzRnwgjaQf16mhkgyDt6A%3D%3D,
667-EEU-FR1H100,5,EEU-FR1H100,"10 µF electrolytic — 50 V, radial",https://www.mouser.com/en/ProductDetail/Panasonic-Industry/EEU-FR1H100?qs=tfZGHB2PWd1NAbdNSgjToQ%3D%3D,
667-EEU-FR1C221,10,EEU-FR1C221,"220 µF electrolytic — 16 V, radial",https://www.mouser.com/en/ProductDetail/Panasonic-Industry/EEU-FR1C221?qs=sGAEpiMZZMsh%252B1woXyUXj1qMLSoXX8Md3jdDfI7Gxc0%3D,
604-WP710A10ID,10,WP710A10ID,"Red LED — 3 mm, through-hole",https://www.mouser.com/en/ProductDetail/Kingbright/WP710A10ID?qs=wRBQ8ZgBZ98VyHeNIlWGkQ%3D%3D,
504-BK1/GMA-1.5-R,5,BK1/GMA-1.5-R,1.5 A fast-blow fuse — 5 × 20 mm,https://www.mouser.com/en/ProductDetail/Eaton-Electronics/BK1-GMA-1.5-R?qs=9GX7soZQXxHHwQMtPHv6gQ%3D%3D,
538-67643-3910,10,67643-3910,USB-A female through-hole socket,https://www.mouser.com/en/ProductDetail/Molex/67643-3910?qs=x6EjVpvqMVPR04zsu4B0aw%3D%3D,2 per PCB; solder directly to board
490-SDS-70J,10,SDS-70J,7-pin DIN female through-hole socket,https://www.mouser.com/en/ProductDetail/Same-Sky/SDS-70J?qs=sGAEpiMZZMtAYTMy7wxAr38XxmkflkdN2GGAM5wDr1DA1h1NpC6HFw%3D%3D,2 per PCB; solder directly to board
571-282834-2,5,282834-2,"2-position PCB power terminal, 2.54 mm",https://www.mouser.com/en/ProductDetail/TE-Connectivity/282834-2?qs=A%2Bip%2BNCYi6N8cVKuk8xDog%3D%3D,J1; one per PCB
571-1-2199298-2,5,1-2199298-2,"8-pin DIP socket, 7.62 mm row spacing",https://www.mouser.com/en/ProductDetail/TE-Connectivity/1-2199298-2?qs=fK8dlpkaUMtEKa4wabwOXQ%3D%3D,U1 socket; one per PCB
571-1-2199298-4,5,1-2199298-4,"16-pin DIP socket, 7.62 mm row spacing",https://www.mouser.com/en/ProductDetail/TE-Connectivity/1-2199298-4?qs=fK8dlpkaUMvpL10rY9Abiw%3D%3D,U2 socket; one per PCB
200-SSW10901TS,10,SSW-109-01-T-S,"9-contact female module socket, 2.54 mm",https://www.mouser.com/en/ProductDetail/Samtec/SSW-109-01-T-S?qs=rU5fayqh%252BE3xTV8be5%252BI6g%3D%3D,M1 side rows; two per PCB
200-SSW10101TS,25,SSW-101-01-T-S,Single-contact female module socket,https://www.mouser.com/en/ProductDetail/Samtec/SSW-101-01-T-S?qs=rU5fayqh%252BE2KqcuVZzybJQ%3D%3D,Five per PCB at M1 contacts 10-14; see orientation note
485-392,1,392,"Male header strips — ten 36-pin strips, 2.54 mm",https://www.mouser.com/en/ProductDetail/Adafruit/392?qs=GURawfaeGuBPkJS%252B96amuQ%3D%3D,ONE PACK of ten 36-pin strips; supplies all module male headers and five JP1 headers
571-8815452,5,881545-2,"2-pin removable shunt with handle, 2.54 mm",https://www.mouser.com/en/ProductDetail/TE-Connectivity/881545-2?qs=ZDXmSm13592mTLRC39Ye%2Fw%3D%3D,JP1 cap; one per PCB
576-01110501Z,10,01110501Z,111-series through-hole 5x20 mm fuse clip,https://www.mouser.com/en/ProductDetail/Littelfuse/01110501Z?qs=Ql%252B1sS8nYriZVK%2FyEjYMGg%3D%3D,"Two separate clips per fuse / PCB; quantity is clips, not pairs"
