Mouser Part Number,Quantity,Manufacturer Part Number,Description,Product URL
595-TPS2042P,1,TPS2042P,USB power-switch chip — PDIP-8,https://www.mouser.com/en/ProductDetail/Texas-Instruments/TPS2042P?qs=sGAEpiMZZMv0DJfhVcWlK5dti4XbSOwogfbpZrAIrQU%3D
595-CD4050BE,1,CD4050BE,PS/2 input buffer — PDIP-16,https://www.mouser.com/en/ProductDetail/Texas-Instruments/CD4050BE?qs=j%2FZo4ajzVJLKLpJvKsajlg%3D%3D
512-2N3904BU,2,2N3904BU,NPN transistor — TO-92,https://www.mouser.com/en/ProductDetail/onsemi/2N3904BU?qs=or4AE2qAS%252Bd0Jdpn%2F8ktKg%3D%3D
603-MFR-25FRF52-22R,2,MFR-25FRF52-22R,"22 Ω resistor — 1%, ¼ W, axial; select Cut Tape",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FRF52-22R?qs=oAGoVhmvjhwUlsp%2F3bYXqg%3D%3D
603-MFR-25FBF52-15K,2,MFR-25FBF52-15K,"15 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-15K?qs=oAGoVhmvjhzZTLCD9uq%2F7w%3D%3D
603-MFR-25FBF52-2K2,3,MFR-25FBF52-2K2,"2.2 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-2K2?qs=oAGoVhmvjhwVT9mopfAMPA%3D%3D
603-MFR-25FBF52-47K,2,MFR-25FBF52-47K,"47 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-47K?qs=oAGoVhmvjhwOchl34Oamzw%3D%3D
603-MFR-25FBF52-4K7,2,MFR-25FBF52-4K7,"4.7 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-4K7?qs=oAGoVhmvjhyEuU2iU0uA4w%3D%3D
603-MFR-25FBF52-100K,2,MFR-25FBF52-100K,"100 kΩ resistor — 1%, ¼ W, axial",https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25FBF52-100K?qs=oAGoVhmvjhxAqZbyE%2Fs9bg%3D%3D
594-K104K15X7RF5TH5,3,K104K15X7RF5TH5,"100 nF ceramic capacitor — 50 V, leaded",https://www.mouser.com/en/ProductDetail/Vishay-BC-Components/K104K15X7RF5TH5?qs=CuWZN%2F5Vbiofhf%252BuZNGw%2Fg%3D%3D
647-UVR1E471MPD,1,UVR1E471MPD,"470 µF electrolytic — 25 V, radial",https://www.mouser.com/en/ProductDetail/Nichicon/UVR1E471MPD?qs=eBzRnwgjaQf16mhkgyDt6A%3D%3D
667-EEU-FR1H100,1,EEU-FR1H100,"10 µF electrolytic — 50 V, radial",https://www.mouser.com/en/ProductDetail/Panasonic-Industry/EEU-FR1H100?qs=tfZGHB2PWd1NAbdNSgjToQ%3D%3D
667-EEU-FR1C221,1,EEU-FR1C221,"220 µF electrolytic — 16 V, radial",https://www.mouser.com/en/ProductDetail/Panasonic-Industry/EEU-FR1C221?qs=sGAEpiMZZMsh%252B1woXyUXj1qMLSoXX8Md3jdDfI7Gxc0%3D
604-WP710A10ID,1,WP710A10ID,"Red LED — 3 mm, through-hole",https://www.mouser.com/en/ProductDetail/Kingbright/WP710A10ID?qs=wRBQ8ZgBZ98VyHeNIlWGkQ%3D%3D
504-BK1/GMA-1.5-R,1,BK1/GMA-1.5-R,1.5 A fast-blow fuse — 5 × 20 mm,https://www.mouser.com/en/ProductDetail/Eaton-Electronics/BK1-GMA-1.5-R?qs=9GX7soZQXxHHwQMtPHv6gQ%3D%3D
576-01500274Z,1,01500274Z,"Inline fuse holder — 5 × 20 mm, wire leads",https://www.mouser.com/en/ProductDetail/Littelfuse/01500274Z?qs=2VFNtWizgidXPNQ%2FDEp6Dw%3D%3D
709-GSM18U05-P1J,1,GSM18U05-P1J,Regulated 5 V / 3 A wall supply — US plug,https://www.mouser.com/en/ProductDetail/MEAN-WELL/GSM18U05-P1J?qs=y5B8D4YB%2F3Q73ALXdTERfw%3D%3D
485-368,1,368,5.5 × 2.1 mm female barrel-to-screw-terminal adapter,https://www.mouser.com/en/ProductDetail/Adafruit/368?qs=GURawfaeGuDj%2FuiL%252B50YjQ%3D%3D
490-SDR-70,1,SDR-70,7-pin DIN male cable plug — solder terminals,https://www.mouser.com/en/ProductDetail/Same-Sky/SDR-70?qs=WyjlAZoYn525nOK6Wu9GaQ%3D%3D
