Reference,Part / value,Through-hole footprint,Function,Assembly notes
J1,5V INPUT / GND,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,Power and module,
F1,1.5A fast 5x20,Fuseholder_Clip-5x20mm_Littelfuse_111_Lateral_P18.80x5.00mm_D1.17mm_Horizontal,Power and module,"Input fuse, 1.5 A fast, 5 x 20 mm; regulated 5 V / 2 A supply."
JP1,REMOVE FOR PC USB,PinHeader_1x02_P2.54mm_Vertical,Power and module,
M1,RP2040-Zero SOCKETS,RP2040_Zero_HeaderOnly,Power and module,"Socketed perimeter headers; GP0-3 USB, GP8-15 PS/2. Other GPIOs unused."
C1,470uF 10V,CP_Radial_D10.0mm_P5.00mm,Power and module,
C2,10uF 10V,CP_Radial_D5.0mm_P2.00mm,Power and module,
C3,100nF,C_Disc_D5.0mm_W2.5mm_P5.00mm,Input conversion and reset logic,
J2,USB 1,USB_A_Molex_67643_Horizontal,USB input 1,
U1,TPS2042P,DIP-8_W7.62mm_Socket,Dual USB power protection,Dual-channel TPS2042P DIP-8. /EN1 and /EN2 grounded. OUT1 pin7 keyboard; OUT2 pin6 mouse. Not pin-compatible with TPS2041P.
R1,22R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 1,
R2,22R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 1,
R3,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 1,
R4,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 1,
R5,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 1,
C4,100nF,C_Disc_D5.0mm_W2.5mm_P5.00mm,USB input 1,
C5,220uF 10V,CP_Radial_D6.3mm_P2.50mm,USB input 1,
C6,100nF,C_Disc_D5.0mm_W2.5mm_P5.00mm,USB input 1,
D1,RED FAULT,LED_D3.0mm,USB input 1,
J3,USB 2,USB_A_Molex_67643_Horizontal,USB input 2,
R6,22R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 2,
R7,22R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 2,
R8,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 2,
R9,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 2,
R10,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,USB input 2,
C7,220uF 10V,CP_Radial_D6.3mm_P2.50mm,USB input 2,
C8,100nF,C_Disc_D5.0mm_W2.5mm_P5.00mm,USB input 2,
D2,RED FAULT,LED_D3.0mm,USB input 2,
J4,KBD SDS-70J,SDS-70J,Keyboard PS/2,"Custom cable only; E shell contacts unconnected. Target 5V is reference/pull-ups, not board power."
J5,MOUSE SDS-70J,SDS-70J,Mouse PS/2,"Custom cable only; E shell contacts unconnected. Target 5V is reference/pull-ups, not board power."
Q1,2N3904,TO-92_Inline_Wide,Keyboard PS/2,
R11,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Keyboard PS/2,
R12,47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Keyboard PS/2,
R13,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Keyboard PS/2,
R14,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Keyboard PS/2,
Q2,2N3904,TO-92_Inline_Wide,Keyboard PS/2,
R15,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Keyboard PS/2,
R16,47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Keyboard PS/2,
R17,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Keyboard PS/2,
R18,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Keyboard PS/2,
Q3,2N3904,TO-92_Inline_Wide,Mouse PS/2,
R19,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Mouse PS/2,
R20,47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Mouse PS/2,
R21,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Mouse PS/2,
R22,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Mouse PS/2,
Q4,2N3904,TO-92_Inline_Wide,Mouse PS/2,
R23,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Mouse PS/2,
R24,47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Mouse PS/2,
R25,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Mouse PS/2,
R26,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Mouse PS/2,
U2,CD4050BE,DIP-16_W7.62mm_Socket,PS/2 level conversion,"CD4050BE DIP-16, VCC pin 1 = 3V3; GND pin 8. Non-inverting sense. Unused inputs tied to GND."
H1,M3,MountingHole_3.2mm_M3,Mechanical,
H2,M3,MountingHole_3.2mm_M3,Mechanical,
H3,M3,MountingHole_3.2mm_M3,Mechanical,
H4,M3,MountingHole_3.2mm_M3,Mechanical,
