Component,Value,Physical pin,Pin name,Connect to net,Section
J1,5V INPUT / GND,1,+5V,5V_INPUT,Power and module
J1,5V INPUT / GND,2,GND,GND,Power and module
F1,1.5A fast 5x20,1,IN,5V_INPUT,Power and module
F1,1.5A fast 5x20,2,OUT,5V_BOARD,Power and module
JP1,REMOVE FOR PC USB,1,BOARD,5V_BOARD,Power and module
JP1,REMOVE FOR PC USB,2,MODULE,5V_MODULE,Power and module
M1,RP2040-Zero SOCKETS,1,GP0,GP0,Power and module
M1,RP2040-Zero SOCKETS,2,GP1,GP1,Power and module
M1,RP2040-Zero SOCKETS,3,GP2,GP2,Power and module
M1,RP2040-Zero SOCKETS,4,GP3,GP3,Power and module
M1,RP2040-Zero SOCKETS,5,GP4,NO CONNECTION,Power and module
M1,RP2040-Zero SOCKETS,6,GP5,NO CONNECTION,Power and module
M1,RP2040-Zero SOCKETS,7,GP6,NO CONNECTION,Power and module
M1,RP2040-Zero SOCKETS,8,GP7,NO CONNECTION,Power and module
M1,RP2040-Zero SOCKETS,9,GP8,GP8,Power and module
M1,RP2040-Zero SOCKETS,10,GP9,GP9,Power and module
M1,RP2040-Zero SOCKETS,11,GP10,GP10,Power and module
M1,RP2040-Zero SOCKETS,12,GP11,GP11,Power and module
M1,RP2040-Zero SOCKETS,13,GP12,GP12,Power and module
M1,RP2040-Zero SOCKETS,14,GP13,GP13,Power and module
M1,RP2040-Zero SOCKETS,15,GP14,GP14,Power and module
M1,RP2040-Zero SOCKETS,16,GP15,GP15,Power and module
M1,RP2040-Zero SOCKETS,17,GP26,NO CONNECTION,Power and module
M1,RP2040-Zero SOCKETS,18,GP27,NO CONNECTION,Power and module
M1,RP2040-Zero SOCKETS,19,GP28,NO CONNECTION,Power and module
M1,RP2040-Zero SOCKETS,20,GP29,NO CONNECTION,Power and module
M1,RP2040-Zero SOCKETS,21,3V3,3V3,Power and module
M1,RP2040-Zero SOCKETS,22,GND,GND,Power and module
M1,RP2040-Zero SOCKETS,23,5V,5V_MODULE,Power and module
C1,470uF 10V,1,1,5V_BOARD,Power and module
C1,470uF 10V,2,2,GND,Power and module
C2,10uF 10V,1,1,3V3,Power and module
C2,10uF 10V,2,2,GND,Power and module
C3,100nF,1,1,3V3,Input conversion and reset logic
C3,100nF,2,2,GND,Input conversion and reset logic
J2,USB 1,1,VBUS,USB1_5V,USB input 1
J2,USB 1,2,D-,USB1_DM,USB input 1
J2,USB 1,3,D+,USB1_DP,USB input 1
J2,USB 1,4,GND,GND,USB input 1
J2,USB 1,5,SHIELD,GND,USB input 1
U1,TPS2042P,1,GND,GND,Dual USB power protection
U1,TPS2042P,2,IN,5V_BOARD,Dual USB power protection
U1,TPS2042P,3,/EN1,GND,Dual USB power protection
U1,TPS2042P,4,/EN2,GND,Dual USB power protection
U1,TPS2042P,5,/OC2,USB2_FAULT,Dual USB power protection
U1,TPS2042P,6,OUT2,USB2_5V,Dual USB power protection
U1,TPS2042P,7,OUT1,USB1_5V,Dual USB power protection
U1,TPS2042P,8,/OC1,USB1_FAULT,Dual USB power protection
R1,22R,1,1,GP0,USB input 1
R1,22R,2,2,USB1_DP,USB input 1
R2,22R,1,1,GP1,USB input 1
R2,22R,2,2,USB1_DM,USB input 1
R3,15k,1,1,USB1_DP,USB input 1
R3,15k,2,2,GND,USB input 1
R4,15k,1,1,USB1_DM,USB input 1
R4,15k,2,2,GND,USB input 1
R5,2.2k,1,1,5V_BOARD,USB input 1
R5,2.2k,2,2,USB1_LED_A,USB input 1
C4,100nF,1,1,5V_BOARD,USB input 1
C4,100nF,2,2,GND,USB input 1
C5,220uF 10V,1,1,USB1_5V,USB input 1
C5,220uF 10V,2,2,GND,USB input 1
C6,100nF,1,1,USB1_5V,USB input 1
C6,100nF,2,2,GND,USB input 1
D1,RED FAULT,1,K,USB1_FAULT,USB input 1
D1,RED FAULT,2,A,USB1_LED_A,USB input 1
J3,USB 2,1,VBUS,USB2_5V,USB input 2
J3,USB 2,2,D-,USB2_DM,USB input 2
J3,USB 2,3,D+,USB2_DP,USB input 2
J3,USB 2,4,GND,GND,USB input 2
J3,USB 2,5,SHIELD,GND,USB input 2
R6,22R,1,1,GP2,USB input 2
R6,22R,2,2,USB2_DP,USB input 2
R7,22R,1,1,GP3,USB input 2
R7,22R,2,2,USB2_DM,USB input 2
R8,15k,1,1,USB2_DP,USB input 2
R8,15k,2,2,GND,USB input 2
R9,15k,1,1,USB2_DM,USB input 2
R9,15k,2,2,GND,USB input 2
R10,2.2k,1,1,5V_BOARD,USB input 2
