Net,Connect these component pins together
3V3,M1.21; C2.1; C3.1; U2.1; TP3.1
5V_BOARD,F1.2; JP1.1; C1.1; U1.2; R5.1; C4.1; R10.1; TP1.1
5V_INPUT,J1.1; F1.1; TP8.1
5V_MODULE,JP1.2; M1.23; TP2.1
GND,J1.2; M1.22; C1.2; C2.2; C3.2; J2.4; J2.5; U1.1; U1.3; U1.4; R3.2; R4.2; C4.2; C5.2; C6.2; J3.4; J3.5; R8.2; R9.2; C7.2; C8.2; J4.2; J5.2; Q1.1; R12.2; R14.2; Q2.1; R16.2; R18.2; Q3.1; R20.2; R22.2; Q4.1; R24.2; R26.2; U2.8; U2.11; U2.14; TP23.1; TP24.1; TP25.1; TP26.1
GP0,M1.1; R1.1
GP1,M1.2; R2.1
GP10,M1.11; R15.1; TP14.1
GP11,M1.12; U2.4; TP18.1
GP12,M1.13; R19.1; TP15.1
GP13,M1.14; U2.6; TP19.1
GP14,M1.15; R23.1; TP16.1
GP15,M1.16; U2.10; TP20.1
GP2,M1.3; R6.1
GP3,M1.4; R7.1
GP8,M1.9; R11.1; TP13.1
GP9,M1.10; U2.2; TP17.1
KBD_5V,J4.1; R13.1; R17.1; TP6.1
KBD_CLOCK,J4.4; Q2.3; R17.2; R18.1; U2.5; TP10.1
KBD_DATA,J4.3; Q1.3; R13.2; R14.1; U2.3; TP9.1
MOUSE_5V,J5.1; R21.1; R25.1; TP7.1
MOUSE_CLOCK,J5.4; Q4.3; R25.2; R26.1; U2.9; TP12.1
MOUSE_DATA,J5.3; Q3.3; R21.2; R22.1; U2.7; TP11.1
Q1_B,Q1.2; R11.2; R12.1
Q2_B,Q2.2; R15.2; R16.1
Q3_B,Q3.2; R19.2; R20.1
Q4_B,Q4.2; R23.2; R24.1
USB1_5V,J2.1; U1.7; C5.1; C6.1; TP4.1
USB1_DM,J2.2; R2.2; R4.1
USB1_DP,J2.3; R1.2; R3.1
USB1_FAULT,U1.8; D1.1; TP21.1
USB1_LED_A,R5.2; D1.2
USB2_5V,U1.6; J3.1; C7.1; C8.1; TP5.1
USB2_DM,J3.2; R7.2; R9.1
USB2_DP,J3.3; R6.2; R8.1
USB2_FAULT,U1.5; D2.1; TP22.1
USB2_LED_A,R10.2; D2.2
