Reference,Part,X mm,Y mm,Rotation degrees
J1,5V INPUT / GND,138,17,0
F1,1.5A fast 5x20,119,27,0
JP1,REMOVE FOR PC USB,128,37,0
M1,RP2040-Zero SOCKETS,76,15,0
C1,470uF 10V,141,43,0
C2,10uF 10V,88,50,0
C3,100nF,113,37,0
J2,USB 1,29,21,180
U1,TPS2042P,23,36,0
R1,22R,99,18,0
R2,22R,99,23,0
R3,15k,19,49,0
R4,15k,19,54,0
R5,2.2k,33,54,0
C4,100nF,34,36,0
C5,220uF 10V,40,29,0
C6,100nF,40,39,0
D1,RED FAULT,40,50,0
J3,USB 2,60,21,180
R6,22R,99,28,0
R7,22R,99,33,0
R8,15k,50,49,0
R9,15k,50,54,0
R10,2.2k,64,54,0
C7,220uF 10V,67,29,0
C8,100nF,68,41,0
D2,RED FAULT,71,50,0
J4,KBD SDS-70J,40,86,180
J5,MOUSE SDS-70J,111,86,180
Q1,2N3904,44,67,90
R11,2.2k,17,61,0
R12,47k,30,61,0
R13,4.7k,17,66,0
R14,100k,30,66,0
Q2,2N3904,76,67,90
R15,2.2k,49,61,0
R16,47k,62,61,0
R17,4.7k,49,66,0
R18,100k,62,66,0
Q3,2N3904,108,67,90
R19,2.2k,81,61,0
R20,47k,94,61,0
R21,4.7k,81,66,0
R22,100k,94,66,0
Q4,2N3904,140,67,90
R23,2.2k,113,61,0
R24,47k,126,61,0
R25,4.7k,113,66,0
R26,100k,126,66,0
U2,CD4050BE,100,37,0
H1,M3,15,35,0
H2,M3,115,15,0
H3,M3,15,85,0
H4,M3,145,85,0
TP1,5V_BOARD,123,48,0
TP2,5V_MODULE,89,44,0
TP3,3V3,93,49,0
TP4,USB1_5V,47,33,0
TP5,USB2_5V,60,33,0
TP6,KBD_5V,23,75,0
TP7,MOUSE_5V,94,75,0
TP8,5V_INPUT,145,30,0
TP9,KBD_DATA,56,73,0
TP10,KBD_CLOCK,56,79,0
TP11,MOUSE_DATA,94,81,0
TP12,MOUSE_CLOCK,126,73,0
TP13,GP8,21,57,0
TP14,GP10,53,57,0
TP15,GP12,85,57,0
TP16,GP14,117,57,0
TP17,GP9,33,57,0
TP18,GP11,65,57,0
TP19,GP13,94,55,0
TP20,GP15,129,57,0
TP21,USB1_FAULT,42,43,0
TP22,USB2_FAULT,58,43,0
TP23,GND,15,43,0
TP24,GND,76,46,0
TP25,GND,61,84,0
TP26,GND,140,76,0
