channel,target_v,logic_v,external_cap_pf,idle_line,driven_line,host_line,idle_sense,driven_sense,host_sense,release_10_90,base_drive,gpio_current_ma
KBD_DATA,4.75,3.135,100,4.536734,-0.01387175,0.01008391,3.135,1.181047e-14,-2.301081e-12,1.054409e-06,0.6635722,1.1082635874439462
KBD_DATA,4.75,3.135,500,4.536734,-0.01387175,0.01008392,3.135,4.544313e-14,-1.203046e-12,4.999118e-06,0.663572,1.1082636771300447
KBD_DATA,4.75,3.135,1000,4.536734,-0.01387175,0.01008392,3.135,-4.124069e-14,-4.104803e-13,9.930933e-06,0.6635717,1.1082638116591927
KBD_DATA,5.0,3.3,100,4.77551,-0.01459561,0.01061465,3.3,4.221479e-15,-8.821525e-12,1.054136e-06,0.6664224,1.1809765022421523
KBD_DATA,5.0,3.3,500,4.77551,-0.01459561,0.01061465,3.3,-6.673421e-15,-6.24319e-12,4.998942e-06,0.6664229,1.1809762780269057
KBD_DATA,5.0,3.3,1000,4.77551,-0.0145956,0.01061465,3.3,5.122273e-14,-5.173285e-12,9.930696e-06,0.6664215,1.1809769058295962
KBD_DATA,5.25,3.465,100,5.014286,-0.01524597,0.01114538,3.465,1.466598e-14,-1.038424e-11,1.053648e-06,0.6691494,1.25374466367713
KBD_DATA,5.25,3.465,500,5.014286,-0.01524596,0.01114538,3.465,-5.675675e-14,-1.294138e-11,4.998545e-06,0.669148,1.2537452914798206
KBD_DATA,5.25,3.465,1000,5.014286,-0.01524597,0.01114538,3.465,3.228066e-14,-8.243089e-13,9.930425e-06,0.6691496,1.2537445739910313
KBD_CLOCK,4.75,3.135,100,4.536734,-0.01387175,0.01008391,3.135,1.181047e-14,-2.301081e-12,1.054409e-06,0.6635722,1.1082635874439462
KBD_CLOCK,4.75,3.135,500,4.536734,-0.01387175,0.01008392,3.135,4.544313e-14,-1.203046e-12,4.999118e-06,0.663572,1.1082636771300447
KBD_CLOCK,4.75,3.135,1000,4.536734,-0.01387175,0.01008392,3.135,-4.124069e-14,-4.104803e-13,9.930933e-06,0.6635717,1.1082638116591927
KBD_CLOCK,5.0,3.3,100,4.77551,-0.01459561,0.01061465,3.3,4.221479e-15,-8.821525e-12,1.054136e-06,0.6664224,1.1809765022421523
KBD_CLOCK,5.0,3.3,500,4.77551,-0.01459561,0.01061465,3.3,-6.673421e-15,-6.24319e-12,4.998942e-06,0.6664229,1.1809762780269057
KBD_CLOCK,5.0,3.3,1000,4.77551,-0.0145956,0.01061465,3.3,5.122273e-14,-5.173285e-12,9.930696e-06,0.6664215,1.1809769058295962
KBD_CLOCK,5.25,3.465,100,5.014286,-0.01524597,0.01114538,3.465,1.466598e-14,-1.038424e-11,1.053648e-06,0.6691494,1.25374466367713
KBD_CLOCK,5.25,3.465,500,5.014286,-0.01524596,0.01114538,3.465,-5.675675e-14,-1.294138e-11,4.998545e-06,0.669148,1.2537452914798206
KBD_CLOCK,5.25,3.465,1000,5.014286,-0.01524597,0.01114538,3.465,3.228066e-14,-8.243089e-13,9.930425e-06,0.6691496,1.2537445739910313
MOUSE_DATA,4.75,3.135,100,4.536734,-0.01387175,0.01008391,3.135,1.181047e-14,-2.301081e-12,1.054409e-06,0.6635722,1.1082635874439462
MOUSE_DATA,4.75,3.135,500,4.536734,-0.01387175,0.01008392,3.135,4.544313e-14,-1.203046e-12,4.999118e-06,0.663572,1.1082636771300447
MOUSE_DATA,4.75,3.135,1000,4.536734,-0.01387175,0.01008392,3.135,-4.124069e-14,-4.104803e-13,9.930933e-06,0.6635717,1.1082638116591927
MOUSE_DATA,5.0,3.3,100,4.77551,-0.01459561,0.01061465,3.3,4.221479e-15,-8.821525e-12,1.054136e-06,0.6664224,1.1809765022421523
MOUSE_DATA,5.0,3.3,500,4.77551,-0.01459561,0.01061465,3.3,-6.673421e-15,-6.24319e-12,4.998942e-06,0.6664229,1.1809762780269057
MOUSE_DATA,5.0,3.3,1000,4.77551,-0.0145956,0.01061465,3.3,5.122273e-14,-5.173285e-12,9.930696e-06,0.6664215,1.1809769058295962
MOUSE_DATA,5.25,3.465,100,5.014286,-0.01524597,0.01114538,3.465,1.466598e-14,-1.038424e-11,1.053648e-06,0.6691494,1.25374466367713
MOUSE_DATA,5.25,3.465,500,5.014286,-0.01524596,0.01114538,3.465,-5.675675e-14,-1.294138e-11,4.998545e-06,0.669148,1.2537452914798206
MOUSE_DATA,5.25,3.465,1000,5.014286,-0.01524597,0.01114538,3.465,3.228066e-14,-8.243089e-13,9.930425e-06,0.6691496,1.2537445739910313
MOUSE_CLOCK,4.75,3.135,100,4.536734,-0.01387175,0.01008391,3.135,1.181047e-14,-2.301081e-12,1.054409e-06,0.6635722,1.1082635874439462
MOUSE_CLOCK,4.75,3.135,500,4.536734,-0.01387175,0.01008392,3.135,4.544313e-14,-1.203046e-12,4.999118e-06,0.663572,1.1082636771300447
MOUSE_CLOCK,4.75,3.135,1000,4.536734,-0.01387175,0.01008392,3.135,-4.124069e-14,-4.104803e-13,9.930933e-06,0.6635717,1.1082638116591927
MOUSE_CLOCK,5.0,3.3,100,4.77551,-0.01459561,0.01061465,3.3,4.221479e-15,-8.821525e-12,1.054136e-06,0.6664224,1.1809765022421523
MOUSE_CLOCK,5.0,3.3,500,4.77551,-0.01459561,0.01061465,3.3,-6.673421e-15,-6.24319e-12,4.998942e-06,0.6664229,1.1809762780269057
MOUSE_CLOCK,5.0,3.3,1000,4.77551,-0.0145956,0.01061465,3.3,5.122273e-14,-5.173285e-12,9.930696e-06,0.6664215,1.1809769058295962
MOUSE_CLOCK,5.25,3.465,100,5.014286,-0.01524597,0.01114538,3.465,1.466598e-14,-1.038424e-11,1.053648e-06,0.6691494,1.25374466367713
MOUSE_CLOCK,5.25,3.465,500,5.014286,-0.01524596,0.01114538,3.465,-5.675675e-14,-1.294138e-11,4.998545e-06,0.669148,1.2537452914798206
MOUSE_CLOCK,5.25,3.465,1000,5.014286,-0.01524597,0.01114538,3.465,3.228066e-14,-8.243089e-13,9.930425e-06,0.6691496,1.2537445739910313
